scope,term,label,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,formula,se_type,notes
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::claude-1,model_LMSYS::claude-1,-0.204066,0.338346,-0.603128,0.546423,0.815408,0.420116,1.582637,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::claude-instant-1,model_LMSYS::claude-instant-1,0.315285,0.403483,0.781410,0.434562,1.370650,0.621549,3.022584,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::dolly-v2-12b,model_LMSYS::dolly-v2-12b,0.612952,0.406113,1.509311,0.131219,1.845872,0.832743,4.091590,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::fastchat-t5-3b,model_LMSYS::fastchat-t5-3b,0.063834,0.615504,0.103711,0.917399,1.065916,0.319004,3.561642,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::gpt-3.5-turbo,model_LMSYS::gpt-3.5-turbo,-0.586871,0.575218,-1.020258,0.307606,0.556065,0.180090,1.716962,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::gpt-4,model_LMSYS::gpt-4,0.498909,0.320604,1.556155,0.119671,1.646924,0.878557,3.087289,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::gpt4all-13b-snoozy,model_LMSYS::gpt4all-13b-snoozy,-0.152182,0.499160,-0.304876,0.76046,0.858832,0.322861,2.284554,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::guanaco-33b,model_LMSYS::guanaco-33b,0.151916,0.517134,0.293766,0.768937,1.164063,0.422458,3.207521,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::koala-13b,model_LMSYS::koala-13b,0.047236,0.314814,0.150044,0.88073,1.048369,0.565639,1.943075,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::llama-13b,model_LMSYS::llama-13b,-0.097435,0.445018,-0.218945,0.826693,0.907162,0.379208,2.170160,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::llama-2-13b-chat,model_LMSYS::llama-2-13b-chat,-0.265397,0.352633,-0.752616,0.451681,0.766902,0.384214,1.530758,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::mpt-30b-chat,model_LMSYS::mpt-30b-chat,0.802500,0.509140,1.576188,0.114983,2.231111,0.822494,6.052151,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::mpt-7b-chat,model_LMSYS::mpt-7b-chat,0.074525,0.415407,0.179403,0.857621,1.077373,0.477270,2.432021,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::oasst-pythia-12b,model_LMSYS::oasst-pythia-12b,0.323338,0.391500,0.825897,0.408863,1.381733,0.641465,2.976290,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::palm-2,model_LMSYS::palm-2,0.412178,0.480785,0.857301,0.391279,1.510103,0.588510,3.874889,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::stablelm-tuned-alpha-7b,model_LMSYS::stablelm-tuned-alpha-7b,-0.776335,0.689258,-1.126334,0.260024,0.460089,0.119161,1.776440,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::vicuna-13b,model_LMSYS::vicuna-13b,0.092900,0.280917,0.330701,0.74087,1.097351,0.632739,1.903123,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::vicuna-33b,model_LMSYS::vicuna-33b,-0.033542,0.353356,-0.094923,0.924376,0.967015,0.483783,1.932928,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::vicuna-7b,model_LMSYS::vicuna-7b,-0.529866,0.465716,-1.137745,0.255227,0.588684,0.236296,1.466586,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::wizardlm-13b,model_LMSYS::wizardlm-13b,0.081461,0.411293,0.198059,0.842999,1.084870,0.484482,2.429281,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::chatgpt,model_ShareChat::chatgpt,0.774718,0.283973,2.728140,0.00636925,2.169980,1.243750,3.785980,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::claude,model_ShareChat::claude,1.088378,0.373966,2.910368,0.00361004,2.969453,1.426758,6.180198,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::gemini,model_ShareChat::gemini,1.569439,0.319014,4.919658,8.66954e-07,4.803952,2.570684,8.977362,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::grok,model_ShareChat::grok,0.375829,0.417203,0.900829,0.367679,1.456198,0.642820,3.298762,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo,model_WildChat::gpt-3.5-turbo,0.167579,0.281103,0.596150,0.551075,1.182439,0.681552,2.051437,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo-0125,model_WildChat::gpt-3.5-turbo-0125,-0.108993,0.298464,-0.365178,0.714979,0.896737,0.499582,1.609619,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo-0301,model_WildChat::gpt-3.5-turbo-0301,0.205858,0.290173,0.709431,0.478057,1.228579,0.695669,2.169720,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo-0613,model_WildChat::gpt-3.5-turbo-0613,-0.044479,0.284275,-0.156466,0.875666,0.956495,0.547903,1.669792,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4,model_WildChat::gpt-4,0.799525,0.296579,2.695828,0.0070214,2.224484,1.243874,3.978158,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-0125-preview,model_WildChat::gpt-4-0125-preview,0.026265,0.294682,0.089131,0.928978,1.026613,0.576194,1.829131,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-0314,model_WildChat::gpt-4-0314,0.638671,0.326225,1.957762,0.050258,1.893963,0.999270,3.589716,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-1106-preview,model_WildChat::gpt-4-1106-preview,0.383210,0.288780,1.326997,0.18451,1.466986,0.832936,2.583688,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-turbo-2024-04-09,model_WildChat::gpt-4-turbo-2024-04-09,-0.111899,0.325408,-0.343873,0.730942,0.894135,0.472509,1.691982,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4.1-mini-2025-04-14,model_WildChat::gpt-4.1-mini-2025-04-14,-0.491613,0.300215,-1.637537,0.101518,0.611639,0.339584,1.101649,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-2024-05-13,model_WildChat::gpt-4o-2024-05-13,0.016075,0.289359,0.055553,0.955698,1.016205,0.576333,1.791795,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-2024-08-06,model_WildChat::gpt-4o-2024-08-06,0.137347,0.285109,0.481735,0.629995,1.147226,0.656084,2.006034,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-2024-11-20,model_WildChat::gpt-4o-2024-11-20,-0.108270,0.328020,-0.330072,0.741345,0.897385,0.471805,1.706848,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-mini-2024-07-18,model_WildChat::gpt-4o-mini-2024-07-18,-0.312217,0.285451,-1.093769,0.274056,0.731822,0.418239,1.280520,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
