scope,term,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,se_type
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-3.5-turbo-0613,-0.173794,0.165349,-1.051077,0.293223,0.840470,0.607819,1.162170,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4,0.761165,0.171097,4.448734,8.63779e-06,2.140768,1.530837,2.993713,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4-0125-preview,0.155963,0.170667,0.913842,0.3608,1.168783,0.836487,1.633084,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4-0314,0.785121,0.181836,4.317738,1.57637e-05,2.192671,1.535294,3.131522,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4-1106-preview,0.469718,0.167861,2.798253,0.00513799,1.599543,1.151091,2.222706,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4-turbo-2024-04-09,-0.105632,0.190568,-0.554304,0.57937,0.899755,0.619313,1.307190,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4.1-mini-2025-04-14,-0.220004,0.173361,-1.269051,0.204423,0.802516,0.571328,1.127253,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4o-2024-05-13,0.244093,0.167753,1.455079,0.145647,1.276463,0.918786,1.773382,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4o-2024-08-06,0.231560,0.165633,1.398030,0.162104,1.260566,0.911120,1.744036,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4o-2024-11-20,0.230067,0.198302,1.160187,0.245973,1.258685,0.853334,1.856585,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-4o-mini-2024-07-18,-0.136773,0.166260,-0.822645,0.41071,0.872168,0.629618,1.208158,358073,127580,-62614.349842,conversation-cluster robust sandwich
